block_number,block_hash,parent_hash,timestamp,transaction_hash,from_address,to_address,actual_fee_amount,actual_fee_unit,fee_in_eth,tx_count,time_diff,avg_fee,std_fee,anomaly
776231,0x2dcdefacccef242ab74f58b725f9352c8e033bc3df53387895d7ada7fa6d169,0x4777769e2938eb992a1635cc7979eaeedb3b8234938c3fd181db5dce415e2ef,2024-10-05 11:50:48,0x1c1cabf8f747e503b69b0527d839ca13a18b1fca7088e572d38fede422a6733,0x679cb63d3a667e17681464980ea4a033b920f81af4f5fbcf87072daa230dc72,Unknown,0x64b1fc370fedc,FRI,1771449.655295708,3,351.0,1958560.4518173959,207753.8839332263,False
776215,0x6a63d0980bfa5380f7695c6c9bc6d9a2f6af5c6aef395ebf2ab41ef714b3815,0x42d3b75a7e457f5694233323ef320bd81a47ac3db2ee02ec9b65e0d85528ce4,2024-10-05 11:41:46,0x1b45e584302768f47c3730a14030ade2d68c31c95d1a48718dcc7ef4d19d9d,0x67ccd2ea43698af366241298a3d5364718c02e974e486e9f9d43450e1be8bb7,Unknown,0x166fd15db200,WEI,2.4669509759488e-05,1,0.0,2.4669509759488e-05,,False
776247,0x57aad171230cd9239765dbe64ea1faa18fe1dfa6f718f0e2aef50310b6ade98,0x3c18da095fcbab0fa8131d3f3f73ee8ff6b89e2ff78ef9baad5cb7e99182da,2024-10-05 11:59:33,0x7d03eb5866701e764fc46e33f39ee39030dea4fe989501e0c92d7c7ff65ea75,0x67fc5713a96705dc5f91e0a5aa57dbd19148833661b5a75471b38d55b662ff4,Unknown,0xe7306cbd44,WEI,9.92949878084e-07,1,0.0,9.92949878084e-07,,False
776197,0x73d75bb50509c1a833ae0135515846c0bf57c657816fdc5ece674a6e0b6a5d1,0x7fbc4e988680aec2c87ebb4191861c2cd633b095b3db661a6346f1219b935a0,2024-10-05 11:31:59,0x4663984a8eca71e87ece3ebe8b316b4f109352f23ce027575759b21bba18268,0x6806493bdebe2e9cbe49b880e2dd2d3a95c3ebf29fd7af203e68590e36405b5,Unknown,0x204ab8f9526,WEI,2.219081438502e-06,8,0.0,1.695240227603e-06,3.353468002052381e-07,False
776201,0x3a661e8ce1b9117b2df107e7f492341d3922d169bfe6b652708b9a32dbdab82,0x256f1bda7f4616019f869d2c4f203795af7c3fa8a79b9e696678972edffabc7,2024-10-05 11:34:04,0x19472613cbe7e566c598cd5a1df7986914135a8bbb2f808a8779b1855aae330,0x6806493bdebe2e9cbe49b880e2dd2d3a95c3ebf29fd7af203e68590e36405b5,Unknown,0x181bb6b7290,WEI,1.656706790032e-06,8,125.0,1.695240227603e-06,3.353468002052381e-07,False
776208,0xad3e49b00ebb60e8762b45aec8d60297b8dbf7833cea12b80547cb55bb41e1,0x6c2fe2b195d31a8d7db20a7d2c5f8eb7cf9c10a275dba93fe902344d69f5c42,2024-10-05 11:37:54,0x7d87e59642f27606110c376b510f5b9f919c567a12592a83f10e2c555ba7f07,0x6806493bdebe2e9cbe49b880e2dd2d3a95c3ebf29fd7af203e68590e36405b5,Unknown,0x19f87b054ca,WEI,1.784687908042e-06,8,230.0,1.695240227603e-06,3.353468002052381e-07,False
776213,0x4a369635ba718df58692bbb631cb64d6257d89f9db35f4d878134cd250be583,0x1ae314c8e9687337d37e31a8062207390b42c68a71612e13d4d75157292ad2d,2024-10-05 11:40:38,0x30ac6fe5c0db5bd37f60a4cbe1a79d1254b347462b0f0f338e94aedc6191aee,0x6806493bdebe2e9cbe49b880e2dd2d3a95c3ebf29fd7af203e68590e36405b5,Unknown,0x1ee13d6957c,WEI,2.1220466743e-06,8,164.0,1.695240227603e-06,3.353468002052381e-07,False
776220,0x6f67f29edbe6e3cbe449fedfadb50a65761d63f7f08a53c8aba1351df388217,0x54218e69e28ce6dc4b0a24d6cf37894e276af170b63b0824407dbf1c6f158ae,2024-10-05 11:44:24,0x3ed9dd47d7955b43e7bfedc60fcc0fcac0c252f38bae135b4cc43158a17f2c5,0x6806493bdebe2e9cbe49b880e2dd2d3a95c3ebf29fd7af203e68590e36405b5,Unknown,0x179cb1f0010,WEI,1.622610477072e-06,8,226.0,1.695240227603e-06,3.353468002052381e-07,False
776240,0x4691ceb59afc45098afeddadf430cdc00dc95e151847ab733ee9188e30092a4,0x7984dd711ca4eaa4c721a27fd5af8926686f98aee926a1cbc05625490918c96,2024-10-05 11:55:49,0x601ff10cf121a6ac9a96b02124df1b83b04d6e18459970ef3aba289a8c32bce,0x6806493bdebe2e9cbe49b880e2dd2d3a95c3ebf29fd7af203e68590e36405b5,Unknown,0x1257b55d032,WEI,1.260494639154e-06,8,685.0,1.695240227603e-06,3.353468002052381e-07,False
776246,0x3c18da095fcbab0fa8131d3f3f73ee8ff6b89e2ff78ef9baad5cb7e99182da,0x6968e707693b3b260bbdc0e2541a4081af7fe55646c615bdbe834ec1321ef24,2024-10-05 11:58:58,0x73fa70ebc7b041f6a66298483a32ab1be672fab4169680a4159e448991941b1,0x6806493bdebe2e9cbe49b880e2dd2d3a95c3ebf29fd7af203e68590e36405b5,Unknown,0x145d23497ca,WEI,1.39939103329e-06,8,189.0,1.695240227603e-06,3.353468002052381e-07,False
776258,0x5f93b232854f1682c6811033df1c410a8034c38e86547aac48e47f0d3471fd,0x2d27fcb9ccc12cbce80a062c395d01c3f9c5ea7a2ce4823856adcad27553072,2024-10-05 12:05:17,0x561be3d72f0761dce07f70a20e87d61a7f9aeeb99bc28ba5236415208dc2200,0x6806493bdebe2e9cbe49b880e2dd2d3a95c3ebf29fd7af203e68590e36405b5,Unknown,0x15c865cfe90,WEI,1.496902860432e-06,8,379.0,1.695240227603e-06,3.353468002052381e-07,False
776268,0x4f974a0e301b4a927802257c40821c73788caa0a8807ec9fe83d27505ba6047,0x30ed738f955e93cbee4233cc9641ee4ffc9d3ecf0eada5d30a2da229f74dece,2024-10-05 12:10:50,0x7a906a07d5483b9bd0a1a2f3be4f4aa1f0289cc6ca5e781a059a9b748d724af,0x686735619287df0f11ec4cda22675f780886b52bf59cf899dd57fd5d5f4cad,Unknown,0xbdeb090036430,FRI,3341074.655568944,1,0.0,3341074.655568944,,False
776251,0x2b4efed3b621ae4ea8a3674a08c45e977b65614324d1ad00aa39aafe1a99c3d,0x2b7cd867c760194a5b14ff81b6abae2e82d7439bcbf8e98533a04d8b50dfc1e,2024-10-05 12:01:38,0x7b2e8f0a85025e63ab6cd9fa3e0b7f4efacc0f76488b0104b6081b919c56ede,0x68874a2cfa8c88de2f9fca0d71ff6712e87385e7f443a4c3a35f72cfd47600f,Unknown,0xe52dd98e40,WEI,9.84316743232e-07,2,0.0,1.1265812725534998e-06,2.0119242681109022e-07,False
776251,0x2b4efed3b621ae4ea8a3674a08c45e977b65614324d1ad00aa39aafe1a99c3d,0x2b7cd867c760194a5b14ff81b6abae2e82d7439bcbf8e98533a04d8b50dfc1e,2024-10-05 12:01:38,0x198cb4eb720be794ff2aeb6a3bb52fbab2da4ef0f76070b79b515e46d694985,0x68874a2cfa8c88de2f9fca0d71ff6712e87385e7f443a4c3a35f72cfd47600f,Unknown,0x1276d1a7193,WEI,1.268845801875e-06,2,0.0,1.1265812725534998e-06,2.0119242681109022e-07,False
776253,0x7032bbe1f2318021260d3e88b31a80cd563caa871595dfa9a330a2c2757171b,0x6cbbc1b36d401b85e02e72a547c1dd64df7312a129672bbd4f82396501209ad,2024-10-05 12:02:38,0x6bd8dd1d1059861e44d59fa0a9d6e7ae4d0b3c34d949d5b556986482cd006f7,0x69a7818562b608ce8c5d0039e7f6d1c6ee55f36978f633b151858d85c022d2f,Unknown,0x2fa0809ebe,WEI,2.04556246718e-07,1,0.0,2.04556246718e-07,,False
776222,0x31f925222e9032892dc7e88df6011858350c54ae6aac0a48595f6510d5b873f,0x717080baff71578193a80b6b2c6b91499a1b9a57ce60e05ed4f3f03b79402c5,2024-10-05 11:45:28,0x3077d930f33dc5230bcf358d6e5241ba9c3a6f5468787ad291191d9c5e26db,0x69c491e6c625158777a7d6f1931c7e503f23d871a6541e1ab7d8836552e3144,Unknown,0x647e6a6260,WEI,4.31617630816e-07,1,0.0,4.31617630816e-07,,False
776228,0x517446789fe63255c3c50373b6e5bed53e56fd761fc0eff3b2faea45ec3f60f,0x541c2068d82fa15ddc578c751f114421644ae1408746c930907ef5a62558097,2024-10-05 11:49:03,0x420b913252dff1538cca38232f1e11b9f762173ce9ea7e21e6bc747dc96fe45,0x69ec778f4784de6bf1940069715d1607ce4436fe2867827a45c3d436c706660,Unknown,0x4a4d0c0fb2,WEI,3.19120215986e-07,2,0.0,3745304.9870385667,5296661.107893079,False
776229,0x757a88049da596e7610e7ed59b4614497c25da3369f67fb7e9b88cb62b8a8e6,0x517446789fe63255c3c50373b6e5bed53e56fd761fc0eff3b2faea45ec3f60f,2024-10-05 11:49:43,0xd7bfcd4e1757d4c5d49e54f24d9e02d4ecac931f7e56d9514a287d1d30eab2,0x69ec778f4784de6bf1940069715d1607ce4436fe2867827a45c3d436c706660,Unknown,0x1a9cab8aa7e58e,FRI,7490609.974076814,2,40.0,3745304.9870385667,5296661.107893079,False
776228,0x517446789fe63255c3c50373b6e5bed53e56fd761fc0eff3b2faea45ec3f60f,0x541c2068d82fa15ddc578c751f114421644ae1408746c930907ef5a62558097,2024-10-05 11:49:03,0x474c54ce79dc26ba827da4f5be9bc31326bce926f1b9ffc209cc9d8af1fd19c,0x6abd393f2431dd245079a4a53b6f78cb149833d2a429f5543732343a4d2b6bd,Unknown,0x6063f3f9a0,WEI,4.13993793952e-07,4,0.0,3.59104589012925e-06,2.4717121923994935e-06,False
776232,0xdcc56e1fb88d53ab2eb49aedec8a4485fb440b3afbfd2bd07483120720ec7,0x2dcdefacccef242ab74f58b725f9352c8e033bc3df53387895d7ada7fa6d169,2024-10-05 11:51:20,0xb02f9ba615c6ab5d1de6e561d38b8b08886938537a2074fdd35cefc7819bcf,0x6abd393f2431dd245079a4a53b6f78cb149833d2a429f5543732343a4d2b6bd,Unknown,0x5766d790ec9,WEI,6.006200929993e-06,4,137.0,3.59104589012925e-06,2.4717121923994935e-06,False
